icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timeStamp
899026,TTW285  ,Taiwan,1583040579.0,1583040579,120.4997,22.2617,1623.06,False,139.99,343.56,-4.88,,1714.5,3645,False,0,20200301T1629
a86ddf,NKS505  ,United States,1583039104.0,1583040579,-100.8303,32.5028,10965.18,False,182.6,311.46,0.0,,11163.3,2406,False,0,20200301T1629
899024,TTW211  ,Taiwan,1583040565.0,1583040578,132.4929,32.9245,9144.0,False,200.43,233.45,0.0,,9319.26,3747,False,0,20200301T1629
34619c,VOE2564 ,Spain,1583040580.0,1583040580,-0.2031,43.0835,10668.0,False,179.32,252.81,7.15,,10561.32,2305,False,0,20200301T1629
781534,CES2725 ,China,1583040579.0,1583040579,108.0267,28.0375,9174.48,False,189.13,242.81,-0.33,,9425.94,7757,False,0,20200301T1629
89901e,CAL061  ,Taiwan,1583040579.0,1583040579,8.7854,50.0873,1082.04,False,65.75,249.86,-3.58,,1005.84,7671,False,0,20200301T1629
5082c8,AUI086  ,Ukraine,1583040578.0,1583040579,30.9035,50.4078,358.14,False,58.73,183.01,-3.25,,,6440,False,0,20200301T1629
a0c3b6,GTI3015 ,United States,1583040580.0,1583040580,-117.3267,34.2494,2385.06,False,125.16,164.99,-9.1,,2400.3,3537,False,0,20200301T1629
4d010a,CLX63J  ,Luxembourg,1583040536.0,1583040539,-87.8949,41.9895,160.02,True,4.63,0.0,,,,0722,False,0,20200301T1629
c05f94,ROU1741 ,Canada,1583040579.0,1583040579,-81.3507,29.7429,10858.5,False,232.34,356.95,3.25,,11041.38,3424,False,0,20200301T1629
4d010d,CLX7153 ,Luxembourg,1583040579.0,1583040579,20.4506,40.3272,10835.64,False,220.96,336.54,5.2,,10904.22,2002,False,0,20200301T1629
4d010c,CLX9736 ,Luxembourg,1583040578.0,1583040578,49.8124,59.4901,10363.2,False,225.26,257.2,0.33,,9646.92,,False,0,20200301T1629
4240e7,ABW501  ,United Kingdom,1583040352.0,1583040376,8.8731,61.353,9753.6,False,258.99,288.29,0.0,,9144.0,0210,False,0,20200301T1629
a193aa,SKW5576 ,United States,1583040579.0,1583040579,-119.4418,34.1745,10972.8,False,173.05,299.77,0.0,,11064.24,1027,False,0,20200301T1629
a2c934,N279PD  ,United States,1583040575.0,1583040578,-121.409,38.6558,0.0,False,0.0,0.0,0.0,,-15.24,1200,False,0,20200301T1629
76ce63,SIA975  ,Singapore,1583040580.0,1583040580,100.9,13.0041,4732.02,False,200.41,163.75,11.7,,4991.1,0724,False,0,20200301T1629
780e57,CDC8905 ,China,1583040577.0,1583040578,113.3538,22.5492,2552.7,False,152.28,162.3,-9.43,,2689.86,5033,False,0,20200301T1629
508370,AUI898  ,Ukraine,1583040579.0,1583040579,30.7665,48.7896,10020.3,False,197.7,49.22,-3.25,,9867.9,6442,False,0,20200301T1629
780cc5,DKH1178 ,China,1583040579.0,1583040579,114.0334,23.3069,10081.26,False,268.75,38.47,0.0,,10576.56,4265,False,0,20200301T1629
406f7c,BAW23T  ,United Kingdom,1583040494.0,1583040530,-49.9991,45.9826,11887.2,False,301.32,70.76,-0.33,,11734.8,0565,True,0,20200301T1629
780cc0,,China,,1583040503,,,,False,250.23,129.75,0.0,,,,False,0,20200301T1629
406f7b,BAW34   ,United Kingdom,1583040579.0,1583040579,-0.2061,51.4655,1112.52,False,77.68,270.0,-4.23,,929.64,0501,False,0,20200301T1629
508379,AUI700  ,Ukraine,1583040576.0,1583040579,30.9017,48.1038,10980.42,False,218.8,7.16,0.0,,10828.02,6317,False,0,20200301T1629
ac1846,FDX5460 ,United States,1583040503.0,1583040567,53.7415,25.9058,11277.6,False,301.34,107.38,0.0,,11833.86,3333,False,0,20200301T1629
